Variable,Original,Translation
psychokinesisskill,Effective skill level when invoking psychokinetic psionic abilities.,Nivel de habilidad efectivo al invocar habilidades psiónicas psicocinéticas.
psychokinesiscritchance,Chance to score a critical hit when invoking psychokinetic psionic abilities.,Probabilidad de asestar un golpe crítico al invocar habilidades psiónicas psicocinéticas.
psychokinesiscritbonus,Damage bonus applied when you score a critical hit with a psychokinetic psionic ability.,Bonificación de daño aplicada cuando asestas un golpe crítico con una habilidad psiónica psicocinética.
psychokinesispsicost,Base psi point cost modifier for psychokinetic psi abilities.,Modificador de coste base de puntos psi para habilidades psi psicocinéticas.
thoughtcontrolskill,Effective skill level when invoking thought control psionic abilities.,Nivel de habilidad efectivo al invocar habilidades psiónicas de control mental.
thoughtcontrolcritchance,Chance to score a critical hit when invoking thought control psionic abilities.,Probabilidad de asestar un golpe crítico al invocar habilidades psiónicas de control mental.
thoughtcontrolcritbonus,Damage bonus applied when you score a critical hit with a thought control psionic ability.,Bonificación de daño aplicada cuando asestas un golpe crítico con una habilidad psiónica de control mental.
thoughtcontrolpsicost,Base psi point cost modifier for thought control psi abilities.,Modificador de coste base de puntos psi para habilidades psi de control mental.
temporalmanipulationskill,Effective skill level when invoking temporal manipulation psionic abilities.,Nivel de habilidad efectivo al invocar habilidades psiónicas de manipulación temporal.
temporalmanipulationcritchance,Chance to score a critical hit when invoking temporal manipulation psionic abilities.,Probabilidad de asestar un golpe crítico al invocar habilidades psiónicas de manipulación temporal.
temporalmanipulationcritbonus,Damage bonus applied when you score a critical hit with a temporal manipulation psionic ability.,Bonificación de daño aplicada cuando asestas un golpe crítico con una habilidad psiónica de manipulación temporal.
temporalmanipulationpsicost,Base psi point cost modifier for temporal manipulation psi abilities.,Modificador de coste base de puntos psi para habilidades psi de manipulación temporal.
specialattackbonusdamage,Increases the damage done by special weapon or unarmed attacks. This does not affect unconditional special attacks.,Aumenta el daño infligido por ataques especiales con armas o sin armas. Esto no afecta a los ataques especiales incondicionales.
actionpoints|combatstattooltips.k,"Number of action points the character has at the beginning of their turn. These points can be used for performing any kind of action, including movement.","Número de puntos de acción que el personaje tiene al comienzo de su turno. Estos puntos se pueden utilizar para realizar cualquier tipo de acción, incluido el movimiento."
actionpoints|concepts.k,These points can be used for performing actions or for movement if there are no movement points left. You can carry over up to {0} unspent action points to the next turn.,Estos puntos se pueden utilizar para realizar acciones o para el movimiento si no quedan puntos de movimiento. Puedes acumular hasta {0} puntos de acción sin gastar para el siguiente turno.
movementpoints|combatstattooltips.k,Number of movement points the character has at the beginning of their turn. These points can only be used for movement.,Número de puntos de movimiento que el personaje tiene al comienzo de su turno. Estos puntos solo se pueden utilizar para el movimiento.
movementpoints|concepts.k,These points can only be used for movement.,Estos puntos solo se pueden utilizar para el movimiento.
innervate,Applies the changes made to the psi ability selection. This will instantly drain all of your psi points and reserves.\n\nThis can only be done out of combat.,Aplica los cambios realizados en la selección de habilidades psi. Esto drenará instantáneamente todos tus puntos psi y reservas.\n\nEsto solo se puede hacer fuera de combate.
sgs|deathscreen.k,You broke the station's most basic rules of conduct - so the station broke you.,"Rompiste las reglas de conducta más básicas de la estación, así que la estación te rompió a ti."
sgs|maps.k,This is your home base. It's a vertical compound that spans between Lower Underrail and lower caves.,Esta es tu base de operaciones. Es un complejo vertical que se extiende entre el Bajo Underrail y las cuevas inferiores.
crossroadcaves|deathscreen.k,The caves surrounding South Gate Station are quite dangerous - especially for unprepared spelunkers.,"Las cuevas que rodean la Estación Puerta Sur son bastante peligrosas, especialmente para los espeleólogos no preparados."
crossroadcaves|maps.k,Cave tunnels connecting SGS with the lower caves.,Túneles de cueva que conectan SGS con las cuevas inferiores.
forlornstations,You've become a fitting addition to this forlorn scenery.,Te has convertido en una adición adecuada a este paisaje desolado.
caves|deathscreen.k,At least your remains will feed the local fungi and fauna.,Al menos tus restos alimentarán a los hongos y la fauna locales.
caves|maps.k,"There is an intricate network of cave tunnels below, above and all around the Underrail metro system.","Existe una intrincada red de túneles de cueva debajo, encima y alrededor del sistema de metro de Underrail."
gmscompound|deathscreen.k,Seems like you've joined the dead denizens of this place.,Parece que te has unido a los habitantes muertos de este lugar.
gmscompound|maps.k,"The GMS compound used to belong to Omega station, before it was abandoned.","El complejo GMS solía pertenecer a la estación Omega, antes de que fuera abandonada."
camphathor|deathscreen.k,Looks like you ended up being the hunted one.,Parece que has terminado siendo el cazado.
camphathor|maps.k,Old coal mining outpost that turned into a hunting camp.,Antiguo puesto minero de carbón que se convirtió en un campamento de caza.
camphathor|bigbret.k,"I've got something to discuss with you about Camp Hathor, so please come and see me when you have the time. If you haven't heard of it, I'll explain everything when you get here.","Tengo algo que discutir contigo sobre el Campamento Hathor, así que por favor ven a verme cuando tengas tiempo. Si no has oído hablar de él, te lo explicaré todo cuando llegues aquí."
hathormine|deathscreen.k,The mine will remain closed.,La mina permanecerá cerrada.
hathormine|maps.k,Old coal mine.,Antigua mina de carbón.
rathoundkinglair|deathscreen.k,These royal rathounds will surely enjoy gnawing on your bones.,Estos ratas reales seguramente disfrutarán royendo tus huesos.
rathoundkinglair|maps.k,You have a creepy feeling that someone is staring at you intensely from some dark corner as you move through these caves.,Tienes la inquietante sensación de que alguien te está mirando intensamente desde algún rincón oscuro mientras te mueves por estas cuevas.
batteryrecyclingplant|deathscreen.k,Only batteries are recycled here. You're single-use.,Aquí solo se reciclan baterías. Tú eres de un solo uso.
batteryrecyclingplant|maps.k,An old abandoned battery recycling plant.,Una antigua planta de reciclaje de baterías abandonada.
mushroomcove|deathscreen.k,The Mushroom Cove - a peaceful place for peaceful sleep.,"La Caleta Hongo, un lugar tranquilo para un sueño tranquilo."
mushroomcove|maps.k,Many smaller rivers and streams converge here to create one large body of water from which the river Celeritas springs.,Muchos ríos y arroyos más pequeños convergen aquí para crear una gran masa de agua de la que brota el río Celeritas.
junkyard|deathscreen.k,"In Junkyard, danger lurks behind every corner.","En Junkyard, el peligro acecha en cada esquina."
junkyard|maps.k,"A scrappy settlement off the grid, built around, and from, an old junkyard. It's a dangerous place run by two rivaling gangs.","Un asentamiento destartalado fuera de la red, construido alrededor de, y a partir de, un antiguo depósito de chatarra. Es un lugar peligroso dirigido por dos bandas rivales."
oldjunkyard,These caustic grounds have claimed yet another victim.,Estos terrenos cáusticos se han cobrado otra víctima.
corecity|deathscreen.k,Looks like you weren't hardcore enough.,Parece que no eras lo suficientemente duro.
corecity|maps.k,"The largest city of the South Underrail. Formerly a Biocorp megalopolis, now ruled by an independent oligarchy.","La ciudad más grande del Underrail Sur. Antiguamente una megalópolis de Biocorp, ahora gobernada por una oligarquía independiente."
foundry|deathscreen.k,Days without (occupational) fatalities: 0.,Días sin víctimas (laborales): 0.
foundry|maps.k,"This industrial complex, in addition of being a foundry, also houses its workers, as well as a number of traders and the renowned Foundry Guard.","Este complejo industrial, además de ser una fundición, también alberga a sus trabajadores, así como a varios comerciantes y a la renombrada Guardia de la Fundición."
foundrymine|deathscreen.k,Another one bites the dust.,Otro muerde el polvo.
foundrymine|maps.k,People of Foundry extract valuable ore from these caverns.,La gente de Fundición extrae mineral valioso de estas cavernas.
upperunderrail|deathscreen.k,You've reached your final destination.,Has llegado a tu destino final.
upperunderrail|maps.k,"Upper metro system of South Underrail. It used to connect mostly commercial, research and educational facilities.","Sistema de metro superior del Underrail Sur. Solía conectar principalmente instalaciones comerciales, de investigación y educativas."
instituteoftchort|deathscreen.k,Tchort guides you... to death.,Tchort te guía... a la muerte.
instituteoftchort|maps.k,An esoteric sciento-religious community.,Una comunidad científico-religiosa esotérica.
