Variable,Original,Translation
Weapons.90|xpbl_js1.char,Large 9mm gatling gun firing armor piercing rounds.,Gran ametralladora Gatling de 9 mm que dispara proyectiles perforantes.
Components.120|dreadnought.char,Safely behind metal plates and unbreakable glass.,Seguros tras placas de metal y cristal irrompible.
Components.120|xpbl_js1.char,Safely behind metal plates and unbreakable glass.,Seguros tras placas de metal y cristal irrompible.
Components.120|steel.item,It's a set of thick steel plates.,Es un conjunto de gruesas placas de acero.
Weapons.100,Large industrial rock drill.,Taladro de roca industrial grande.
minibotGun,Minibot Gun*,Cañón de Minibot*
plasmaSentryLaserGun|plasmasentry.char,Laser Gun*,Cañón Láser*
plasmaSentryLaserGun|bostonbotfreezing.char,Cold Laser Gun*,Cañón Láser Frío*
turret1Gun|plasmaturret.char,Twin Plasma Cannons*,Cañones de Plasma Gemelos*
turret1Gun|turret1.char,Turret1 Gun*,Cañón de Torreta1*
turret1Gun|seahorseturret.char,Plasma Cannon*,Cañón de Plasma*
shockGun,Shock Gun*,Cañón de Descarga*
pneumaticHammer|threadbot.char,Pneumatic Hammer*,Martillo Neumático*
pneumaticHammer|pneumatichammer.item,Pneumatic Hammer,Martillo Neumático
turret2Gun,Turret1 Gun*,Cañón de Torreta1*
wheeledBot1Gun,WheeledBot1 Gun*,Cañón de Bot con Ruedas1*
boneChieftainArmor,Bone Chieftain Armor*,Armadura de Jefe de Huesos*
fireChieftanArmor,Fire Chieftan Armor*,Armadura de Jefe de Fuego*
savageWarriorArmor|highshaman.char,High Shaman Armor*,Armadura de Alto Chamán*
savageWarriorArmor|savagewarriorarmor.item,Savage Warrior Armor,Armadura de Guerrero Salvaje
kingsSpear,King's Spear*,Lanza del Rey*
kingsArmor,King's Armor*,Armadura del Rey*
savageTranscendentArmor|yngwar.char,Yngwar's Half-Transcendent Armor*,Armadura Semitrascendente de Yngwar*
savageTranscendentArmor|savagetranscendentarmor.item,Savage Transcendent Armor,Armadura Trascendente Salvaje
gunslingersExtraSlots*,Extra Slots/Doctor's Pouch*,Ranuras Extra/Bolsa de Médico*
Armors.62,You can conveniently store and quickly access all kinds of medical equipment in this pouch.,Puedes guardar cómodamente y acceder rápidamente a todo tipo de equipo médico en esta bolsa.
ballistaBoltShooter,Ballista Bolt Shooter*,Disparador de Viotes de Ballesta*
handmaidenFist|lemurianhandmaiden.char,Handmaiden Fist*,Puño de Doncella*
handmaidenFist|lemurianstrongman.char,Strongman Fist*,Puño de Forzudo*
machineGunTurret,Turret1 Gun*,Cañón de Torreta1*
laserGun,Laser Gun*,Cañón Láser*
Ammo.AcidBolt1|acidbolt1.item,Acid Bolt,Dardo Ácido
Ammo.AcidBolt1|acidbolt1.item,"Carries a vial that breaks on impact, spraying acid onto the target.","Lleva un vial que se rompe al impactar, rociando ácido sobre el objetivo."
Ammo.BlackDragonPoisonBolt|blackdragonpoisonbolt.item,Black Dragon Poison Bolt,Dardo de Veneno de Dragón Negro
Ammo.BlackDragonPoisonBolt|blackdragonpoisonbolt.item,This bolt is packed with an ampule of black dragon poison.,Este dardo está cargado con una ampolla de veneno de dragón negro.
PoisonName|blackdragonpoisonbolt.item,Black Dragon Poison,Veneno de Dragón Negro
PoisonName|burrowerpoisonbolt.item,Burrower Poison,Veneno de Excavador
PoisonName|caveearpoisonbolt.item,Cave Ear Poison,Veneno de Oreja de Cueva
PoisonName|crawlerpoisonbolt.item,Crawler Poison,Veneno de Reptador
PoisonName|spiritpoisonbolt.item,Spirit Poison,Veneno Espiritual
PoisonName|caveearpoisoncaltrops.item,Cave Ear Poison,Veneno de Oreja de Cueva
PoisonName|crawlerpoisoncaltrops.item,Crawler Poison,Veneno de Reptador
PoisonName|blackdragonpoisonbeartrap.item,Black Dragon Poison,Veneno de Dragón Negro
PoisonName|burrowerpoisonbeartrap.item,Burrower Poison,Veneno de Excavador
PoisonName|caveearpoisonbeartrap.item,Cave Ear Poison,Veneno de Oreja de Cueva
PoisonName|crawlerpoisonbeartrap.item,Crawler Poison,Veneno de Reptador
PoisonName|spiritpoisonbeartrap.item,Spirit Poison,Veneno Espiritual
Ammo.Bolt,A standard crossbow bolt.,Un virote de ballesta estándar.
Ammo.BurrowerPoisonBolt|burrowerpoisonbolt.item,Burrower Poison Bolt,Virote de Veneno de Excavador
Ammo.BurrowerPoisonBolt|burrowerpoisonbolt.item,This bolt is packed with an ampule of potent burrower poison.,Este virote está cargado con una ampolla de potente veneno de excavador.
Ammo.Caliber_127_Cnt|caliber_127_cnt.item,12.7mm Contaminated Round,"Munición Contaminada de 12,7 mm"
Ammo.Caliber_127_Cnt|caliber_127_cnt.item,This cartridge packs a 12.7mm bullet contaminated with toxic sludge.,"Este cartucho contiene una bala de 12,7 mm contaminada con lodo tóxico."
Ammo.Caliber_127_JHP|caliber_127_jhp.item,12.7mm JHP Round,"Munición JHP de 12,7 mm"
Ammo.Caliber_127_JHP|caliber_127_jhp.item,This is a 12.7mm jacketed hollow point round.,"Esta es una munición de punta hueca encamisada de 12,7 mm."
Ammo.Caliber_127_Std|caliber_127_std.item,12.7mm Standard Round,"Munición Estándar de 12,7 mm"
Ammo.Caliber_127_Std|caliber_127_std.item,This is a standard 12.7mm round.,"Esta es una munición estándar de 12,7 mm."
Ammo.Caliber_127_W2C|caliber_127_w2c.item,12.7mm W2C Round,"Munición W2C de 12,7 mm"
Ammo.Caliber_127_W2C|caliber_127_w2c.item,This armor-piercing cartridge packs a 12.7mm tungsten carbide bullet.,"Este cartucho perforante contiene una bala de carburo de tungsteno de 12,7 mm."
Ammo.Caliber_44_Exp|caliber_44_exp.item,.44 Explosive Round,Munición Explosiva de .44
Ammo.Caliber_44_Exp|caliber_44_exp.item,This cartridge packs a .44 explosive bullet. Do not fire at point-blank.,Este cartucho contiene una bala explosiva de .44. No disparar a quemarropa.
Ammo.Caliber_44_JHP|caliber_44_jhp.item,.44 JHP Round,Munición JHP de .44
Ammo.Caliber_44_JHP|caliber_44_jhp.item,This is a .44 jacketed hollow point round.,Esta es una munición de punta hueca encamisada de .44.
Ammo.Caliber_44_Std|caliber_44_std.item,.44 Standard Round,Munición Estándar de .44
Ammo.Caliber_44_Std|caliber_44_std.item,This is a standard .44 round.,Esta es una munición estándar de .44.
Ammo.Caliber_44_W2C|caliber_44_w2c.item,.44 W2C Round,Munición W2C de .44
Ammo.Caliber_44_W2C|caliber_44_w2c.item,This armor-piercing cartridge packs a .44 tungsten carbide bullet.,Este cartucho perforante contiene una bala de carburo de tungsteno de .44.
Ammo.Caliber_5_JHP|caliber_5_jhp.item,5mm JHP Round,Munición JHP de 5 mm
Ammo.Caliber_5_JHP|caliber_5_jhp.item,This is a 5mm jacketed hollow point round.,Esta es una munición de punta hueca encamisada de 5 mm.
Ammo.Caliber_5_Shock|caliber_5_shock.item,5mm Shock Round,Munición de Descarga de 5 mm
Ammo.Caliber_5_Shock|caliber_5_shock.item,This cartridge contains a 5mm charged round that delivers an electroshock on impact.,Este cartucho contiene una munición cargada de 5 mm que libera una descarga eléctrica al impactar.
Ammo.Caliber_5_Std|caliber_5_std.item,5mm Standard Round,Munición Estándar de 5 mm
Ammo.Caliber_5_Std|caliber_5_std.item,This is a standard 5mm round.,Esta es una munición estándar de 5 mm.
Ammo.Caliber_5_W2C|caliber_5_w2c.item,5mm W2C Round,Munición W2C de 5 mm
Ammo.Caliber_5_W2C|caliber_5_w2c.item,This armor-piercing cartridge packs a 5mm tungsten carbide bullet.,Este cartucho perforante contiene una bala de carburo de tungsteno de 5 mm.
Ammo.Caliber_762_JHP|caliber_762_jhp.item,7.62mm JHP Round,"Munición JHP de 7,62 mm"
Ammo.Caliber_762_JHP|caliber_762_jhp.item,This is a 7.62mm jacketed hollow point round.,"Esta es una munición de punta hueca encamisada de 7,62 mm."
Ammo.Caliber_762_MS|caliber_762_ms.item,7.62mm Micro-shrapnel Round,"Munición de Microfragmentación de 7,62 mm"
Ammo.Caliber_762_MS|caliber_762_ms.item,This cartridge packs a 7.62mm bullet loaded with micro shrapnel that burst forth on impact.,"Este cartucho contiene una bala de 7,62 mm cargada con microfragmentos que estallan al impactar."
Ammo.Caliber_762_Std|caliber_762_std.item,7.62mm Standard Round,"Munición Estándar de 7,62 mm"
Ammo.Caliber_762_Std|caliber_762_std.item,This is a standard 7.62mm round.,"Esta es una munición estándar de 7,62 mm."
Ammo.Caliber_762_W2C|caliber_762_w2c.item,7.62mm W2C Round,"Munición W2C de 7,62 mm"
Ammo.Caliber_762_W2C|caliber_762_w2c.item,This armor-piercing cartridge packs a 7.62mm tungsten carbide bullet.,"Este cartucho perforante contiene una bala de carburo de tungsteno de 7,62 mm."
Ammo.Caliber_86_Inc|caliber_86_inc.item,8.6mm Incendiary Round,"Munición Incendiaria de 8,6 mm"
Ammo.Caliber_86_Inc|caliber_86_inc.item,This cartridge contains a 8.6mm incendiary round that can set the target on fire.,"Este cartucho contiene una munición incendiaria de 8,6 mm que puede prender fuego al objetivo."
Ammo.Caliber_86_JHP|caliber_86_jhp.item,8.6mm JHP Round,"Munición JHP de 8,6 mm"
Ammo.Caliber_86_JHP|caliber_86_jhp.item,This is a 8.6mm jacketed hollow point round.,"Esta es una munición de punta hueca encamisada de 8,6 mm."
Ammo.Caliber_86_Std|caliber_86_std.item,8.6mm Standard Round,"Munición Estándar de 8,6 mm"
Ammo.Caliber_86_Std|caliber_86_std.item,This is a standard 8.6mm round.,"Esta es una munición estándar de 8,6 mm."
Ammo.Caliber_86_W2C|caliber_86_w2c.item,8.6mm W2C Round,"Munición W2C de 8,6 mm"
Ammo.Caliber_86_W2C|caliber_86_w2c.item,This armor-piercing cartridge packs a 8.6mm tungsten carbide bullet.,"Este cartucho perforante contiene una bala de carburo de tungsteno de 8,6 mm."
Ammo.Caliber_9_Acid|caliber_9_acid.item,9mm Acid Round,Munición Ácida de 9 mm
Ammo.Caliber_9_Acid|caliber_9_acid.item,This cartridge packs a 9mm bullet embedded with acid that will burst out on impact.,Este cartucho contiene una bala de 9 mm incrustada con ácido que estallará al impactar.
Ammo.Caliber_9_JHP|caliber_9_jhp.item,9mm JHP Round,Munición JHP de 9 mm
Ammo.Caliber_9_JHP|caliber_9_jhp.item,This is a 9mm jacketed hollow point round.,Esta es una munición de punta hueca encamisada de 9 mm.
Ammo.Caliber_9_Std|caliber_9_std.item,9mm Standard Round,Munición Estándar de 9 mm
Ammo.Caliber_9_Std|caliber_9_std.item,This is a standard 9mm round.,Esta es una munición estándar de 9 mm.
Ammo.Caliber_9_W2C|caliber_9_w2c.item,9mm W2C Round,Munición W2C de 9 mm
Ammo.Caliber_9_W2C|caliber_9_w2c.item,This armor-piercing cartridge packs a 9mm tungsten carbide bullet.,Este cartucho perforante contiene una bala de carburo de tungsteno de 9 mm.
Ammo.CaveEarPoisonBolt|caveearpoisonbolt.item,Cave Ear Poison Bolt,Virote de Veneno de Oreja de Cueva
Ammo.CaveEarPoisonBolt|caveearpoisonbolt.item,This bolt is packed with an ampule of poison extracted from cave ear mushrooms.,Este virote está cargado con una ampolla de veneno extraído de setas oreja de cueva.
Ammo.CorrosiveAcidBolt1|corrosiveacidbolt1.item,Corrosive Acid Bolt,Virote de Ácido Corrosivo
Ammo.CorrosiveAcidBolt1|corrosiveacidbolt1.item,"Carries a vial that breaks on impact, spraying corrosive acid onto the target.","Lleva un vial que se rompe al impactar, rociando ácido corrosivo sobre el objetivo."
Ammo.CrawlerPoisonBolt|crawlerpoisonbolt.item,Crawler Poison Bolt,Virote de Veneno de Reptador
Ammo.CrawlerPoisonBolt|crawlerpoisonbolt.item,This bolt is packed with an ampule of crawler poison.,Este virote está cargado con una ampolla de veneno de reptador.
Ammo.IncendiaryBolt1|incendiarybolt1.item,Incendiary Bolt,Virote Incendiario
Ammo.IncendiaryBolt1|incendiarybolt1.item,When fired from a crossbow this bolt will burn everything along its flight path and set its target on fire on impact.,"Cuando se dispara desde una ballesta, este virote quemará todo a lo largo de su trayectoria de vuelo y prenderá fuego a su objetivo al impactar."
Ammo.IncendiaryBolt2|incendiarybolt2.item,Incendiary Bolt Mk II,Virote Incendiario Mk II
Ammo.IncendiaryBolt2|incendiarybolt2.item,When fired from a crossbow this bolt will burn everything along its flight path and set its target on fire on impact.,"Cuando se dispara desde una ballesta, este virote quemará todo a lo largo de su trayectoria de vuelo y prenderá fuego a su objetivo al impactar."
Ammo.IncendiaryBolt3|incendiarybolt3.item,Incendiary Bolt Mk III,Virote Incendiario Mk III
Ammo.IncendiaryBolt3|incendiarybolt3.item,When fired from a crossbow this bolt will burn everything along its flight path and set its target on fire on impact.,"Cuando se dispara desde una ballesta, este virote quemará todo a lo largo de su trayectoria de vuelo y prenderá fuego a su objetivo al impactar."
Ammo.PutrefyingBolt|putrefyingbolt.item,Putrefying Bolt,Virote Putrefacto
Ammo.PutrefyingBolt|putrefyingbolt.item,An experimental putrefying bolt that should slowly decompose target's muscles.,Un virote putrefacto experimental que debería descomponer lentamente los músculos del objetivo.
Ammo.SerratedBolt,Serrated Bolt,Virote Serrado
Ammo.90,A special crossbow bolt with serrated metal tip that can inflict bleeding wounds.,Un virote de ballesta especial con punta de metal serrada que puede infligir heridas sangrantes.
Ammo.ShockBolt1|shockbolt1.item,Shock Bolt,Virote de Descarga
Ammo.ShockBolt1|shockbolt1.item,When fired from a crossbow this bolt inflicts electrical damage and can stun the target.,"Cuando se dispara desde una ballesta, este virote inflige daño eléctrico y puede aturdir al objetivo."
Ammo.ShockBolt2|shockbolt2.item,Shock Bolt Mk II,Virote de Descarga Mk II
Ammo.ShockBolt2|shockbolt2.item,When fired from a crossbow this bolt inflicts electrical damage and can stun the target.,"Cuando se dispara desde una ballesta, este virote inflige daño eléctrico y puede aturdir al objetivo."
Ammo.ShockBolt3|shockbolt3.item,Shock Bolt Mk III,Virote de Descarga Mk III
Ammo.ShockBolt3|shockbolt3.item,When fired from a crossbow this bolt inflicts electrical damage and can stun the target.,"Cuando se dispara desde una ballesta, este virote inflige daño eléctrico y puede aturdir al objetivo."
Ammo.SpiritPoisonBolt|spiritpoisonbolt.item,Spirit Poison Bolt,Virote de Veneno Espiritual
Ammo.SpiritPoisonBolt|spiritpoisonbolt.item,This bolt is packed with an ampule of spirit poison.,Este virote está cargado con una ampolla de veneno espiritual.
Ammo.TranquilizingBolt|tranquilizingbolt.item,Tranquilizing Bolt,Virote Tranquilizante
Ammo.TranquilizingBolt|tranquilizingbolt.item,"When fired from a crossbow, this bolt does a purposely limited amount of damage, but can put a human or an animal to sleep if it penetrates their armor. The smaller the target - the longer it sleeps.","Cuando se dispara desde una ballesta, este virote inflige una cantidad de daño limitada a propósito, pero puede dormir a un humano o a un animal si penetra en su armadura. Cuanto más pequeño sea el objetivo, más tiempo dormirá."
Ammo.Vial_Acid_Corrosive,Corrosive Acid Vial,Vial de Ácido Corrosivo
Ammo.CorrosiveAcidVial,Can be loaded into an acid based chemical weapon.,Se puede cargar en un arma química de base ácida.
Ammo.Vial_Acid_Regular,Acid Vial,Vial de Ácido
Ammo.AcidVial,Can be loaded into an acid based chemical weapon.,Se puede cargar en un arma química de base ácida.
Ammo.Vial_Cryogel,Cryogel Vial,Vial de Criogel
Components.176,Can be loaded into a cryo based chemical weapon.,Se puede cargar en un arma química de base criogénica.
Ammo.Vial_Incendiary,Incendiary Vial,Vial Incendiario
Components.177,Can be loaded into a incendiary based chemical weapon.,Se puede cargar en un arma química de base incendiaria.
belt.advancedCatalyzingBelt,Advanced Catalyzing Belt,Cinturón Catalizador Avanzado
Items.AdvancedCatalyzingBelt,"A chemical apparatus designed to connect to chemical pistols and keep the loaded ammunition on the edge of being chemically destabilized; the state which actuates to fullest once it's released into the air. This belt also bridges a part of the weapon's firing mechanism, making it more effective.","Un aparato químico diseñado para conectarse a pistolas químicas y mantener la munición cargada al borde de la desestabilización química; el estado que se activa al máximo una vez que se libera en el aire. Este cinturón también puentea una parte del mecanismo de disparo del arma, haciéndola más efectiva."
biohazardBoots,Biohazard Boots,Botas de Bioprotección
Armors.300,These boots protect the feet from most conventional and unconventional biohazards.,Estas botas protegen los pies de la mayoría de los riesgos biológicos convencionales y no convencionales.
biohazardSuit,Biohazard Suit,Traje de Bioprotección
Armors.58,This whole-body garment protects from most conventional and unconventional biohazards.,Esta prenda de cuerpo entero protege de la mayoría de los riesgos biológicos convencionales y no convencionales.
Armors.48,"This is the armor of Chemical Assault Unit, the most elite Protectorate special force. It's riot gear type armor specially designed to be worn in biohazardous conditions. Protectorate insignias, depicting a clenched spiky metal fists against red and black background, are sewn onto the armbands.","Esta es la armadura de la Unidad de Asalto Químico, la fuerza especial de élite del Protectorado. Es una armadura tipo antidisturbios especialmente diseñada para ser usada en condiciones de riesgo biológico. Insignias del Protectorado, que representan un puño de metal puntiagudo y apretado contra un fondo rojo y negro, están cosidas en los brazaletes."
Armors.41,This suit offers a moderate biohazard protection.,Este traje ofrece una protección biológica moderada.
Armor.BlastSuit,A full suit of body armor specially designed to withstand the pressure generated by a bomb and any fragments the bomb may produce.,Un traje completo de armadura corporal especialmente diseñado para resistir la presión generada por una bomba y cualquier fragmento que pueda producir.
buckleShoesNormal|buckleshoesnormal.item,Bespoke Buckle Shoes,Zapatos de Hebilla a Medida
buckleShoesNormal|buckleshoessmall.item,Undersized Buckle Shoes,Zapatos de Hebilla Pequeños
Armor.BuckleShoes|buckleshoesnormal.item,A pair of elegantly simple leather shoes featuring a metal buckle. Custom made just for you.,Un par de zapatos de cuero elegantemente sencillos con una hebilla de metal. Hechos a medida solo para ti.
Armor.BuckleShoes|buckleshoessmall.item,"A pair of elegantly simple leather shoes featuring a metal buckle. Unfortunately, the shoes are quite a few sizes too small, which makes wearing them a painfully uncomfortable experience.","Un par de zapatos de cuero elegantemente sencillos con una hebilla de metal. Desafortunadamente, los zapatos son unos cuantos números demasiado pequeños, lo que hace que usarlos sea una experiencia dolorosamente incómoda."
belt.bulletStrap,Bullet Strap Belt,Cinturón de Correa de Balas
Armors.61,This belt is both menacing and practical.,Este cinturón es a la vez amenazante y práctico.
belt.catalyzingBelt,Catalyzing Belt,Cinturón Catalizador
Items.CatalyzingBelt,A chemical apparatus designed to connect to chemical pistols and keep the loaded ammunition on the edge of being chemically destabilized; the state which actuates to fullest once it's released into the air.,Un aparato químico diseñado para conectarse a pistolas químicas y mantener la munición cargada al borde de la desestabilización química; el estado que se activa al máximo una vez que se libera en el aire.
pacifier,Makeshift Chrono-Repeater,Cronorrepetición Improvisada
ChronoRepeater,"This jumble of cables and antennas might be an attempt to create a psionic headband version of chrono-repeater, a device that should, theoretically, be able to perfectly echo the same event throughout time with minimal energy supply, creating a sort of near perpetuum mobile.<br><br>This implementation, however, is only able to repeat its temporal scrambling, and only occassionaly.","Este revoltijo de cables y antenas podría ser un intento de crear una versión de diadema psiónica de cronorrepetición, un dispositivo que debería, teóricamente, ser capaz de repetir perfectamente el mismo evento a través del tiempo con un suministro de energía mínimo, creando una especie de casi perpetuum mobile.<br><br>Esta implementación, sin embargo, solo es capaz de repetir su revuelto temporal, y solo ocasionalmente."
commandoBelt,Commando Belt,Cinturón de Comando
Armor.CommandoBelt,A belt for a truly universal soldier.,Un cinturón para un soldado verdaderamente universal.
coretechMask,Coretech Tactical Respirator,Respirador Táctico Coretech
Armor.CoretechMask,"The CT M-TR3-SL is a high-tech respirator which sports a pair of hybrid smart lenses, while also providing some protection to the face of the wearer.","El CT M-TR3-SL es un respirador de alta tecnología que cuenta con un par de lentes inteligentes híbridas, a la vez que proporciona cierta protección al rostro del usuario."
coretechTacticalVest,Coretech Energizing Vest,Chaleco Energizante Coretech
Armor.CoretechVest,"The CT M-EN2 is a tactical vest which integrates a state-of-the-art wireless energy transmission technology that can be used to power any devices in the immediate vicinity, regardless of whether it was designed for it or not. This required the vest to be over-coated with special conductive material that also has a secondary benefit of providing protection against energy attacks.","El CT M-EN2 es un chaleco táctico que integra una tecnología de transmisión de energía inalámbrica de última generación que se puede utilizar para alimentar cualquier dispositivo en las inmediaciones, independientemente de si fue diseñado para ello o no. Esto requirió que el chaleco fuera recubierto con un material conductor especial que también tiene un beneficio secundario de proporcionar protección contra ataques de energía."
cyclopsEye,Cyclop's Eye,Ojo de Cíclope
Armor.CyclopsEye,A helmet engineered specifically to amplify one psi ability at the expense of versatility.,Un casco diseñado específicamente para amplificar una habilidad psi a expensas de la versatilidad.
Armors.40,Wearing this doesn't suddenly make you a doctor... or does it?,Llevar esto no te convierte repentinamente en médico... ¿o sí?
belt.doctorsPouch,Doctor's Pouch,Bolsa de Médico
fireProximitySuit,Fire Proximity Suit,Traje de Proximidad al Fuego
Armors.43,This suit is designed to protect the wearer from extreme temperatures.,Este traje está diseñado para proteger al usuario de temperaturas extremas.
gasMask,Gas Mask,Máscara de Gas
Armors.85,Provides limited biohazard protection by preventing the inhalation of toxic gases.,Proporciona una protección biológica limitada al prevenir la inhalación de gases tóxicos.
belt.trappers|groinguard.item,Groin Guard,Protector de Ingle
belt.trappers|groinguardofhealth.item,Super Player Vitality,Vitalidad de Súper Jugador
belt.trappers|trappersbelt.item,Trapper's Belt,Cinturón de Trampero
Armors.64|groinguard.item,It's all fun and games until someone loses a...,Todo es diversión y juegos hasta que alguien pierde un...
Armors.64|groinguardofhealth.item,Makes your sensitives more resilient.,Hace que tus sensitivos sean más resistentes.
gauntletRunnerJumpsuit,Gauntlet Runner Jumpsuit,Mono de Corredor de Guantelete
Armors.46,It's a yellow Core City Gauntlet runner jumpsuit.,Es un mono amarillo de corredor de Guantelete de Ciudad Núcleo.
hypnoGoggles,Hypno Goggles,Gafas Hipnóticas
Devices.27,Weird goggles with comically large pair of lenses with a spiraling pattern.,Gafas raras con un par de lentes cómicamente grandes con un patrón en espiral.
industrialExoskeleton,Industrial Powered Exoskeleton,Exoesqueleto Industrial Motorizado
Armor.IndustrialExoskeleton,"A Biocorp Industries full-body powered exoskeleton intended for heavy lifting, construction, mining, and other industrial applications. All units have integrated modular forearm attachment systems, and this one has a single heavy-duty drill module under the right arm.<br><br>Take care not to tip over when navigating uneven terrain.","Un exoesqueleto motorizado de cuerpo completo de Industrias Biocorp destinado a la elevación de cargas pesadas, la construcción, la minería y otras aplicaciones industriales. Todas las unidades tienen sistemas modulares de fijación de antebrazo integrados, y esta tiene un solo módulo de perforación de servicio pesado bajo el brazo derecho.<br><br>Tenga cuidado de no volcar al navegar por terrenos irregulares."
ironHead,Iron Head,Cabeza de Hierro
Armor.IronHead,A heavy weirdly-shaped tungsten helmet inlined with malodorous rathound fur.,Un casco pesado de tungsteno con forma extraña forrado con piel maloliente de rata.
jkkTacticalVest,JKK Tactful Jacket,Chaqueta Táctil JKK
Armor.JkkTacticalVest,A suit of combat armor so stylishly casual that one might overlook that it's actually sporting a fully functional tactical vest. Also comes with a several built-in tools as well as couple of clever ways to store your handgun.,"Un traje de armadura de combate tan elegantemente informal que uno podría pasar por alto que en realidad está luciendo un chaleco táctico completamente funcional. También viene con varias herramientas integradas, así como un par de formas inteligentes de guardar tu pistola."
jumpingStilts,Jumping Stilts,Zancos Saltadores
Armors.302,"A pair of weird jumping shoes that are exceptionally awkward to stand in. They are equally awkward when moving, but at least you can gain some speed once you get the hang of it.","Un par de extraños zapatos para saltar que son excepcionalmente incómodos para estar de pie. También son igual de incómodos al moverse, pero al menos puedes ganar algo de velocidad una vez que te acostumbras."
largeWaistPack,Large Waist Pack,Riñonera Grande
LargeWaistPack,This larger variant of a waist pouch can hold a lot more items.,Esta variante más grande de una riñonera puede contener muchos más objetos.
belt.lifting,Lifting Belt,Cinturón de Levantamiento
Armors.65,"Helps you with lifting heavy objects, such as sledgehammers, and also improves your posture.","Te ayuda a levantar objetos pesados, como mazas, y también mejora tu postura."
miningHelmet,Mining Helmet,Casco de Minero
MiningHelemt,It's a simple mining helmet with a functional headlamp.,Es un simple casco de minero con una lámpara frontal funcional.
nightvisionGoggles,Nightvision Goggles,Gafas de Visión Nocturna
praetorianHeavyArmorCaped,Praetorian Caped Peacekeeper,Pacificador Pretoriano con Capa
Armor.PraetorianHeavyArmorCaped,It's a high-quality full steel suit of armor specially designed to deter any potential criminal activity of resident Zoners while anticipating their rascally backstabbing attacks. This version comes with a stylish cape.,Es un traje de armadura de acero completo de alta calidad especialmente diseñado para disuadir cualquier posible actividad criminal de los residentes de las Zonas mientras anticipa sus ataques traicioneros y canallas. Esta versión viene con una elegante capa.
praetorianHeavyArmorTabard,Praetorian Peacekeeper,Pacificador Pretoriano
Armor.PraetorianHeavyArmorTabard,It's a high-quality full steel suit of armor specially designed to deter any potential criminal activity of resident zoners while anticipating their rascally backstabbing attacks. This version comes with a cloth overlay commonly referred to as a scapular.,Es un traje de armadura de acero completo de alta calidad especialmente diseñado para disuadir cualquier posible actividad criminal de los residentes de las Zonas mientras anticipa sus ataques traicioneros y canallas. Esta versión viene con una superposición de tela comúnmente conocida como escapulario.
praetorianHeavyHelmet,Praetorian Lawgiver,Legislador Pretoriano
Armor.PraetorianHeavyHelmet,A heavy metal helmet featuring a built-in respirator and megaphone.,Un casco pesado de metal con un respirador y un megáfono incorporados.
praetorianMediumArmor,Praetorian Chestguard,Peto Pretoriano
