Variable,Original,Translation
weapondamage,Current weapon normal attack damage range. Only includes bonuses from skill level and strength (for melee weapons).,
weaponactionpointcost,Action points required to perform a normal attack with the current weapon.,
weaponimpactspeed,Impact speed of the weapon attack.,
weaponcritchance,Chance to score a critical hit with a normal attack of the current weapon.,
weaponcritbonus,Damage bonus applied when the current weapon scores a critical hit.,
initiative,Influences how quickly you'll get your turn when the combat starts.,
weaponmaxrange,Maximum range of the current weapon.,
weaponoptimalrange,Optimal range of the current weapon. Beyond this point the precision starts dropping more quickly.,
metathermicsskill,Effective skill level when invoking metathermic psionic abilities.,
metathermicscritchance,Chance to score a critical hit when invoking metathermic psionic abilities.,
metathermicscritbonus,Damage bonus applied when you score a critical hit with a metathermic psionic ability.,
metathermicspsicost,Base psi point cost modifier for metathermic psi abilities.,
psychokinesisskill,Effective skill level when invoking psychokinetic psionic abilities.,
psychokinesiscritchance,Chance to score a critical hit when invoking psychokinetic psionic abilities.,
psychokinesiscritbonus,Damage bonus applied when you score a critical hit with a psychokinetic psionic ability.,
psychokinesispsicost,Base psi point cost modifier for psychokinetic psi abilities.,
thoughtcontrolskill,Effective skill level when invoking thought control psionic abilities.,
thoughtcontrolcritchance,Chance to score a critical hit when invoking thought control psionic abilities.,
thoughtcontrolcritbonus,Damage bonus applied when you score a critical hit with a thought control psionic ability.,
thoughtcontrolpsicost,Base psi point cost modifier for thought control psi abilities.,
temporalmanipulationskill,Effective skill level when invoking temporal manipulation psionic abilities.,
temporalmanipulationcritchance,Chance to score a critical hit when invoking temporal manipulation psionic abilities.,
temporalmanipulationcritbonus,Damage bonus applied when you score a critical hit with a temporal manipulation psionic ability.,
temporalmanipulationpsicost,Base psi point cost modifier for temporal manipulation psi abilities.,
specialattackbonusdamage,Increases the damage done by special weapon or unarmed attacks. This does not affect unconditional special attacks.,
actionpoints|combatstattooltips.k,"Number of action points the character has at the beginning of their turn. These points can be used for performing any kind of action, including movement.",
actionpoints|concepts.k,These points can be used for performing actions or for movement if there are no movement points left. You can carry over up to {0} unspent action points to the next turn.,
movementpoints|combatstattooltips.k,Number of movement points the character has at the beginning of their turn. These points can only be used for movement.,
movementpoints|concepts.k,These points can only be used for movement.,
innervate,Applies the changes made to the psi ability selection. This will instantly drain all of your psi points and reserves.\n\nThis can only be done out of combat.,
sgs|deathscreen.k,You broke the station's most basic rules of conduct - so the station broke you.,
sgs|maps.k,This is your home base. It's a vertical compound that spans between Lower Underrail and lower caves.,
crossroadcaves|deathscreen.k,The caves surrounding South Gate Station are quite dangerous - especially for unprepared spelunkers.,
crossroadcaves|maps.k,Cave tunnels connecting SGS with the lower caves.,
forlornstations,You've become a fitting addition to this forlorn scenery.,
caves|deathscreen.k,At least your remains will feed the local fungi and fauna.,
caves|maps.k,"There is an intricate network of cave tunnels below, above and all around the Underrail metro system.",
gmscompound|deathscreen.k,Seems like you've joined the dead denizens of this place.,
gmscompound|maps.k,"The GMS compound used to belong to Omega station, before it was abandoned.",
camphathor|deathscreen.k,Looks like you ended up being the hunted one.,
camphathor|maps.k,Old coal mining outpost that turned into a hunting camp.,
camphathor|bigbret.k,"I've got something to discuss with you about Camp Hathor, so please come and see me when you have the time. If you haven't heard of it, I'll explain everything when you get here.",
hathormine|deathscreen.k,The mine will remain closed.,
hathormine|maps.k,Old coal mine.,
rathoundkinglair|deathscreen.k,These royal rathounds will surely enjoy gnawing on your bones.,
rathoundkinglair|maps.k,You have a creepy feeling that someone is staring at you intensely from some dark corner as you move through these caves.,
batteryrecyclingplant|deathscreen.k,Only batteries are recycled here. You're single-use.,
batteryrecyclingplant|maps.k,An old abandoned battery recycling plant.,
mushroomcove|deathscreen.k,The Mushroom Cove - a peaceful place for peaceful sleep.,
mushroomcove|maps.k,Many smaller rivers and streams converge here to create one large body of water from which the river Celeritas springs.,
junkyard|deathscreen.k,"In Junkyard, danger lurks behind every corner.",
junkyard|maps.k,"A scrappy settlement off the grid, built around, and from, an old junkyard. It's a dangerous place run by two rivaling gangs.",
oldjunkyard,These caustic grounds have claimed yet another victim.,
corecity|deathscreen.k,Looks like you weren't hardcore enough.,
corecity|maps.k,"The largest city of the South Underrail. Formerly a Biocorp megalopolis, now ruled by an independent oligarchy.",
foundry|deathscreen.k,Days without (occupational) fatalities: 0.,
foundry|maps.k,"This industrial complex, in addition of being a foundry, also houses its workers, as well as a number of traders and the renowned Foundry Guard.",
foundrymine|deathscreen.k,Another one bites the dust.,
foundrymine|maps.k,People of Foundry extract valuable ore from these caverns.,
upperunderrail|deathscreen.k,You've reached your final destination.,
upperunderrail|maps.k,"Upper metro system of South Underrail. It used to connect mostly commercial, research and educational facilities.",
instituteoftchort|deathscreen.k,Tchort guides you... to death.,
instituteoftchort|maps.k,An esoteric sciento-religious community.,
emporionshoppingmall|deathscreen.k,The last thing you heard were cries and laughter of utter lunacy.,
emporionshoppingmall|maps.k,An old decrepit shopping center.,
genericfacility,Exploring forsaken places comes with great risks...,
fortapogee|deathscreen.k,Hostile neutralized.,
fortapogee|maps.k,Biggest Protectorate outpost in South Underrail.,
lowerunderrail|deathscreen.k,You've reached your final destination.,
lowerunderrail|maps.k,Lower metro system of South Underrail. It used to connect mostly industrial facilities.,
southrailroadoutpost|deathscreen.k,Hostile neutralized.,
southrailroadoutpost|maps.k,Protectorate's outpost in the farthest south of Underrail.,
hijackedtrainlocation|deathscreen.k,You've found the train and your death.,
hijackedtrainlocation|maps.k,A secluded metro station.,
railcrossing|deathscreen.k,Welcome to Rail Crossing. Population: diminishing.,
railcrossing|maps.k,A small peaceful community.,
warehouseblockbeta|deathscreen.k,The Ironheads have a no-mercy policy for trespassers.,
warehouseblockbeta|maps.k,This storage block is now occupied by Ironheads.,
hecateresearchoutpost|deathscreen.k,Lights out. Forever.,
hecateresearchoutpost|maps.k,"Old research lab, now used for... other purposes.",
lowerpassages|deathscreen.k,The under-passages are some of the most dangerous sections of South Underrail. Your demise was just a matter of time.,
lowerpassages|maps.k,A network of utility passages sprawling underneath the lower metro system.,
oculus|deathscreen.k,The all-seeing eye is watching you die.,
oculus|maps.k,The eye of Underrail.,
hephaestusresearch|deathscreen.k,"Your corpse will provide a nice, cozy place for the burrowers to lay their eggs in.",
hephaestusresearch|maps.k,"Old research lab, now used for... other purposes.",
hangingrat|deathscreen.k,Unless your body gets dumped in the abyss it just might end up turning into this place's mascot.,
hangingrat|maps.k,A weird out-of-the-way inn.,
tchort|deathscreen.k,"The God will have his meal, even if it is a mangy railrat.",
tchort|maps.k,Abominable thing...,
mutagentanks|deathscreen.k,Your biomass will not go to waste.,
mutagentanks|maps.k,"Large, often badly damaged, mutagen tanks litter this area.",
hollowearth|deathscreen.k,The city of the dead just got another resident.,
hollowearth|maps.k,Old decrepit Biocorp research complex. It seems to have met a gruesome end.,
tithonuslab|deathscreen.k,At least you won't be haunting these hallways like them. Not in the same sense anyway.,
tithonuslab|maps.k,Something very wrong seems to be going on in this lab.,
strangeshack|deathscreen.k,Get out!,
strangeshack|maps.k,What is this scrappy shack doing in this secluded part of Deep Caverns.,
arkepowerstation|deathscreen.k,Intruder has been terminated.,
arkepowerstation|maps.k,It seems to be still working in some capacity.,
deepcaverns-warehouseblock2|deathscreen.k,Cleanup on isle six.,
deepcaverns-warehouseblock2|maps.k,A series of storage facilities.,
talosoutpost|deathscreen.k,"Are you truly dead, or will you wake up as one of the Faceless?",
talosoutpost|maps.k,This old outpost has new residents.,
caerusresidential|deathscreen.k,There is not a living human soul in these apartments. Your presence changes nothing.,
caerusresidential|maps.k,There is a number of ruined residential buildings here.,
labyrinth|deathscreen.k,No way out of the labyrinth.,
labyrinth|maps.k,A system of small caves connected with narrow tunnels.,
mushroomforest|deathscreen.k,Your corpse will enrich the soil of this grand fungal forest.,
mushroomforest|maps.k,This is not right. Mushrooms should not be this big.,
deepcaverns|deathscreen.k,"Abandon hope, all ye who enter the Deep Caverns.",
deepcaverns|maps.k,"So it is true, there is a system of large caverns deep beneath Underrail.",
freedronesbase|deathscreen.k,Only death is free.,
freedronesbase|maps.k,This is the base of operations for Free Drones.,
blacksea|deathscreen.k,Your existence ends here - in the Hell's Gut.,
blacksea|maps.k,Black Sea is a giant lake resting in the equally big cavern. This area is also known as Hell's Gut.,
sørmirbærenvillage|deathscreen.k,"Your body, or what's left of it, will surely be put on display as a warning to anyone foolish enough to repeat your mistake.",
sørmirbærenvillage|maps.k,There's a village of savage Black Sea natives here.,
sørmirbærentemple|deathscreen.k,You've desecrated this holy temple and its hallowed waters with your mere presence. You had to pay for your sins.,
sørmirbærentemple|maps.k,Something that you can only describe as an aura of evil weighs heavily upon you in this place.,
mutierefuge|deathscreen.k,"It's a refuge for muties, not for you.",
mutierefuge|maps.k,This island is now home to a community of muties.,
blacksearapids|deathscreen.k,Few can survive these rapids. Looks like you're not one of them.,
blacksearapids|maps.k,The waters here are very quick and treacherous.,
blackseaexpeditioncamp|deathscreen.k,Expedition is over.,
blackseaexpeditioncamp|maps.k,A group of Northerners have set up camp here.,
crimsonmeadowhorticulturecenter|deathscreen.k,A fresh batch of fertilizer has just been delivered.,
crimsonmeadowhorticulturecenter|maps.k,It's overgrown with some type of reddish weed.,
boneyard|deathscreen.k,Fresh bones for the boneyard.,
boneyard|maps.k,It's hard to image the creatures these bones once belonged to. Surely nothing this big exists anymore in the Black Sea.,
sørmirbærengraveyard|deathscreen.k,Those who disturb the dead might just join them.,
sørmirbærengraveyard|maps.k,One can indubitably sense a restless and malicious numen here.,
portceto-destroyer|deathscreen.k,"You won't be walking the plank, if nothing else.",
portceto-destroyer|maps.k,This large makeshift port is home to the Black Sea pirates. It seems to have been built around an old decrepit battleship.,
pirates,Your corpse will not go unplundered.,
lemco|deathscreen.k,"You perished in a graveyard of open, empty crates - coffins for the newly deceased.",
lemco|maps.k,Large waterfront of an old industrial complex.,
basaltcave|deathscreen.k,Your remains will be slowly swallowed by the abrasive sands... and the creatures underneath.,
basaltcave|maps.k,A natural basalt cave.,
fetidmarsh|deathscreen.k,You shouldn't have come here.,
fetidmarsh|maps.k,"This foul-smelling marsh is overrun with insects, snakes and other undesirables.",
nexusoftechnology|deathscreen.k,Now entering: Nexus of the Dead.,
nexusoftechnology|maps.k,Entrance to some sort of high-tech facility.,
blisteringshores|deathscreen.k,Maybe the thick mud might preserve your body for some future explorer to discover.,
blisteringshores|maps.k,The ground here is muddy and the area is littered with pools of boiling greenish water and active geysers.,
blisteringshoresresearchfacility|deathscreen.k,"The literal corner of the Black Sea, your resting place.",
blisteringshoresresearchfacility|maps.k,"The ground here is muddy and the area is littered with pools of boiling greenish water and active geysers. There's a facility here, though.",
giantcreeperlair|deathscreen.k,Many years from now there's a chance that someone might discover your skull in one of these giant cobwebs.,
giantcreeperlair|maps.k,You can hear skittering all around you.,
jointsecurityheadquarters|deathscreen.k,Security breached: Please remain still as to simplify the disposal procedure.,
jointsecurityheadquarters|maps.k,"Due to all the automated combat machinery, you can also surmise that this is some sort of a military base.",
oldib'shomestead|deathscreen.k,No trespassing.,
oldib'shomestead|maps.k,It appears someone is living here.,
therig|deathscreen.k,"The Rig's reputation is such for a good reason. It takes a bullet to the head for many to realize that, and only during that final split second.",
therig|maps.k,Large platform made by Black Eels to control the nearby waterways and facilitate Junkyard trade.,
waterways,You're fish food now.,
chancer'sbay|deathscreen.k,No second chance for you.,
chancer'sbay|maps.k,The infamous bay where the pirates fence off their stolen goods.,
abandonedwaterwayfacility|deathscreen.k,Looks like this was a one-way trip after all.,
abandonedwaterwayfacility|maps.k,"The remains of an old naval facility, intersected by numerous waterways.",
hopperdrome|deathscreen.k,The race is over for you.,
hopperdrome|maps.k,The place for all your hopper racing needs!,
utilitytowericy|deathscreen.k,"Your remains will be well-preserved in this lofty, frigid coffin.",
utilitytowericy|maps.k,"A soaring, abandoned, deep-frozen tower.",
grayarmybase,Sagledaschnlk utepan.,
submarine,Rigged for the final dive.,
abyssalstationzero,"Beneath the deep you'll remain, never to be seen again.",
exobase,"They may not rest, but you sure must.",
regenerativevest,The wearer regenerates {0} health for the cost of {1} energy every turn when below {2}% health.,
regenerate,Regenerates {0} health each turn.,
regeneratelimited,"Regenerates {0} health each turn, but no higher than {1}% of the maximum.",
regenerateshield,Regains {0} shield each turn.,
tnt,"Plants a TNT charge that will detonate after {0} seconds ({1}), dealing {2} and {3} damage to creatures and machines and removing destructible objects.",
s2,You can activate the Sprint ability which grants you {0} additional movement points for {1}. Only effective while not in stealth.\n\nCooldown: {2}.,
as,You can perform an aimed shot with any single-target ranged weapon for a guaranteed critical hit.\n\nCooldown: {0}.,
s-old,Grants you a special attack with a crossbow or sniper rifle that deals additional damage per stealth skill point. Can only be used in stealth. This attack cannot critically hit.\n\nCooldown: {0}.,
s,Grants you a special attack with a crossbow or sniper rifle that deals {0}% weapon damage plus additional {1}% damage per stealth skill point. Can only be used in stealth. This attack cannot critically hit.\n\nCooldown: {2}.,
cookedshot|feats.k,"Grants you a special attack with chemical blob pistols that launches a big blob at the targeted location, dealing normal weapon damage to everything in a small radius. This attack costs {0}% of regular attack action points.\n\nCooldown: {1}.",
cookedshot|specialattacks.k,"Perform a special attack with chemical blob pistols that launches a big blob at the targeted location, dealing normal weapon damage to everything in a small radius.",
a,If your snipe attack deals over {0}% of the target's remaining health it will be instantly killed. Target must be unaware of your presence prior to the attack.\n\nOnly works on biological targets.,
kcs-old|feats.k,"An attack with a pistol, crossbow or SMG that does normal damage and applies a bleeding wound that deals additional {0}% of the original damage over {2} plus additional {1}% for every point in perception and removes all movement points from the target for {2} (target can still move using action points).\n\nOnly works on living targets (that have knees). Cooldown: {3}.",
kcs-old|specialattacks.k,"Deals normal weapon damage and inflicts a bleeding wound that deals additional {0}% damage over {1} seconds and reduces target's speed by up to {2}%.\n\nCan only be performed with a pistol, crossbow or SMG. Only works on living targets (that have knees).",
kcs|feats.k,"An attack with a pistol, crossbow or SMG that does normal damage and applies a bleeding wound that deals additional {0}% of the original damage over {1} and removes all movement points for the same duration.\n\nOnly works on living targets (that have knees).\n\nCooldown: {2}.",
kcs|specialattacks.k,"Deals normal weapon damage and inflicts a bleeding wound that deals additional {0}% damage (scales with perception) over {1} and removes all movement points from the target (target can still move using action points).\n\nCan only be performed with a pistol, crossbow or SMG.",
kcs-xpbl|feats.k,"An attack with a pistol, crossbow, SMG or shotgun that does normal damage and applies a bleeding wound that deals additional {0}% of the original damage over {1} and removes all movement points for the same duration.\n\nOnly works on living targets (that have knees).\n\nCooldown: {2}.",
kcs-xpbl|specialattacks.k,"Deals normal weapon damage and inflicts a bleeding wound that deals additional {0}% damage (scales with perception) over {1} and removes all movement points from the target (target can still move using action points).\n\nCan only be performed with a pistol, crossbow, SMG or shotgun.",
ss-old,Increases your weapon critical bonuses when fully focused:\n\nPistols +{0}%\nCrossbows +{1}%\nSniper Rifles +{2}%,
ss,"Increases your critical damage bonus with pistols, crossbows and sniper rifles when fully focused by {0}%. Firearm pistols receive this bonus at all times, regardless of focus.",
o,"Increases damage against immobilized, stunned and incapacitated targets by {0}% and against slowed targets by {1}% with weapons, unarmed attacks and throwing knives.\n\nOnly works on living targets.",
o-xphw,"Increases damage against immobilized, stunned and incapacitated targets by {0}% and against slowed targets by {1}% with weapons (except area of effect weapons), unarmed attacks and throwing knives.\n\nOnly works on living targets.",
g,Reduces the amount of action points required to fire pistols by {0} and increases initiative by {1} while wielding one. Only applies to firearms.,
qr,Increases attack speed with crossbows by 20%.,
pe,"Allows the character to learn and invoke psi abilities, but their base health is reduced by {0}%.",
ci,Increases the duration of all cold effects of your psi abilities by {0} and allows you to shatter targets caught in your cryostasis if the attack deals over {1}% of target's remaining health (only mechanical and cold damage dealt is considered).\n\nAlso increases the health of cryogenic barrier by {2}%.,
im,Grants you a special close range attack with the pistol that deals {0}% weapon damage against stunned and incapacitated targets. Does not work with pistols that deal their primary damage to multiple targets. Costs 5 action points more than a regular attack.\n\nCooldown: {1}.,
h,Your cold based metathermic psi abilities also reduce target's constitution by {0}. This effect stacks up to {1} times and lasts up to {2}.\n\nCan be mitigated with cold resistance and targets that are immune to chilling and freezing effects are also immune to hypothermia.,
i,Lowers the stealth movement speed penalty to {0}% and allows you to retain up to {1} movement points in combat while stealthed.,
st,"If you spend more than {0} seconds in stealth, you will gain {1}% displacement. This effect will persist for the duration of the stealth mode and {2} seconds afterwards.",
ct-old,"Increases the base damage of your Neural Overload psi ability by {0}%. Also, whenever it lands it reduces all target's psi point gains by {1}% for {2} turns. This effect stacks {3} times.",
ct,"Increases the base damage of your Neural Overload psi ability by {0}%. Also, whenever it lands it reduces target's psi point reserves by {1}% of their maximum psi points.",
ms,"Each offensive mind affecting psi ability you land on the target reduces its resolve by a small percentage, but can ultimately stack up to {0}%.",
co,"Reduces all mechanical, heat and cold damage taken by {0}% plus {1}% for every point in constitution above {2}.",
ds-old,Increases precision with the crossbow when firing special bolts and removes additional action point cost.,
ds,Removes additional action point cost when firing special bolts.,
td-old,"After invoking heat based psi ability you gain thermodynamicity which reduces the psi cost of your next cold based psi ability by {0}% and vice versa.\n\nIf unused, the bonus expires after {1}.",
td,"After invoking heat based psi ability you gain thermodynamicity which reduces the action point cost of your next cold based psi ability by {0}% and vice versa.\n\nIf unused, the bonus expires after {1}.",
pm-old,"Whenever you deal damage with your fire based psi abilities you have a {0}% chance to set the target on fire, dealing {1}% of that damage again over {2} turns.\n\nSetting living targets on fire will put them in state of extreme panic.",
pm,"Whenever you deal damage with your fire based psi abilities you have a chance to set the target on fire, dealing {0}% of that damage again over {1} turns.\n\nSetting living targets on fire will put them in state of extreme panic.",
fullauto,You can fire two extra rounds during your assault rifle and SMG burst attack if you are strong enough to take the kickback.,
fullauto-xpbl,You can fire two extra rounds during your assault rifle and SMG burst attack and one extra shell during shotgun bursts if you are strong enough to take the kickback.,
fullauto-xphw,"You can fire two extra rounds during your assault rifle, SMG, LMG, and minigun burst if you are strong enough to take the kickback.",
fullauto-xpblxphw,"You can fire two extra rounds during your assault rifle, SMG, LMG, and minigun burst attack and one extra shell during shotgun bursts if you are strong enough to take the kickback.",
magdump,"Further increases number of extra rounds for LMG burst by {0}, and increases the amount of extra rounds you get for each wind up stack when bursting with a minigun by {1}.",
ambush,When attacking an illuminated target from out of the darkness with a single-target ranged weapon you ignore half the target's evasion and your critical chance is increased by {0}% plus {1}% for each stealth skill point.,
forceuser,"Telekinesis is strong with you.\n\nDamage from your telekinetic punch is increased by {0}%, your force field has {1}% more health and lasts {2} additional turns, and your force emission costs {3} less psi point.",
locusofcontrol|feats.k,"You are the master of your own fate.\n\nActivate this ability to remove and gain immunity to stun, fear, incapacitation, and mind control for {0}.\n\nWhile this effect is active you can invoke any thought control psi ability as an area of effect ability, but that will end the effect.\n\nCooldown: {1}.",
locusofcontrol|specialabilities.k,"Activate this ability to remove and gain immunity to stun, fear, incapacitation, and mind control for {0}.\n\nWhile this effect is active you can invoke any thought control psi ability as an area of effect ability, but that will end the effect.",
