Variable,Original,Translation
Ammo.AcidBolt1|acidbolt1.item,Acid Bolt,
Ammo.AcidBolt1|acidbolt1.item,"Carries a vial that breaks on impact, spraying acid onto the target.",
Ammo.BlackDragonPoisonBolt|blackdragonpoisonbolt.item,Black Dragon Poison Bolt,
Ammo.BlackDragonPoisonBolt|blackdragonpoisonbolt.item,This bolt is packed with an ampule of black dragon poison.,
PoisonName|blackdragonpoisonbolt.item,Black Dragon Poison,
PoisonName|burrowerpoisonbolt.item,Burrower Poison,
PoisonName|caveearpoisonbolt.item,Cave Ear Poison,
PoisonName|crawlerpoisonbolt.item,Crawler Poison,
PoisonName|spiritpoisonbolt.item,Spirit Poison,
PoisonName|caveearpoisoncaltrops.item,Cave Ear Poison,
PoisonName|crawlerpoisoncaltrops.item,Crawler Poison,
PoisonName|blackdragonpoisonbeartrap.item,Black Dragon Poison,
PoisonName|burrowerpoisonbeartrap.item,Burrower Poison,
PoisonName|caveearpoisonbeartrap.item,Cave Ear Poison,
PoisonName|crawlerpoisonbeartrap.item,Crawler Poison,
PoisonName|spiritpoisonbeartrap.item,Spirit Poison,
Ammo.Bolt,A standard crossbow bolt.,
Ammo.BurrowerPoisonBolt|burrowerpoisonbolt.item,Burrower Poison Bolt,
Ammo.BurrowerPoisonBolt|burrowerpoisonbolt.item,This bolt is packed with an ampule of potent burrower poison.,
Ammo.Caliber_127_Cnt|caliber_127_cnt.item,12.7mm Contaminated Round,
Ammo.Caliber_127_Cnt|caliber_127_cnt.item,This cartridge packs a 12.7mm bullet contaminated with toxic sludge.,
Ammo.Caliber_127_JHP|caliber_127_jhp.item,12.7mm JHP Round,
Ammo.Caliber_127_JHP|caliber_127_jhp.item,This is a 12.7mm jacketed hollow point round.,
Ammo.Caliber_127_Std|caliber_127_std.item,12.7mm Standard Round,
Ammo.Caliber_127_Std|caliber_127_std.item,This is a standard 12.7mm round.,
Ammo.Caliber_127_W2C|caliber_127_w2c.item,12.7mm W2C Round,
Ammo.Caliber_127_W2C|caliber_127_w2c.item,This armor-piercing cartridge packs a 12.7mm tungsten carbide bullet.,
Ammo.Caliber_44_Exp|caliber_44_exp.item,.44 Explosive Round,
Ammo.Caliber_44_Exp|caliber_44_exp.item,This cartridge packs a .44 explosive bullet. Do not fire at point-blank.,
Ammo.Caliber_44_JHP|caliber_44_jhp.item,.44 JHP Round,
Ammo.Caliber_44_JHP|caliber_44_jhp.item,This is a .44 jacketed hollow point round.,
Ammo.Caliber_44_Std|caliber_44_std.item,.44 Standard Round,
Ammo.Caliber_44_Std|caliber_44_std.item,This is a standard .44 round.,
Ammo.Caliber_44_W2C|caliber_44_w2c.item,.44 W2C Round,
Ammo.Caliber_44_W2C|caliber_44_w2c.item,This armor-piercing cartridge packs a .44 tungsten carbide bullet.,
Ammo.Caliber_5_JHP|caliber_5_jhp.item,5mm JHP Round,
Ammo.Caliber_5_JHP|caliber_5_jhp.item,This is a 5mm jacketed hollow point round.,
Ammo.Caliber_5_Shock|caliber_5_shock.item,5mm Shock Round,
Ammo.Caliber_5_Shock|caliber_5_shock.item,This cartridge contains a 5mm charged round that delivers an electroshock on impact.,
Ammo.Caliber_5_Std|caliber_5_std.item,5mm Standard Round,
Ammo.Caliber_5_Std|caliber_5_std.item,This is a standard 5mm round.,
Ammo.Caliber_5_W2C|caliber_5_w2c.item,5mm W2C Round,
Ammo.Caliber_5_W2C|caliber_5_w2c.item,This armor-piercing cartridge packs a 5mm tungsten carbide bullet.,
Ammo.Caliber_762_JHP|caliber_762_jhp.item,7.62mm JHP Round,
Ammo.Caliber_762_JHP|caliber_762_jhp.item,This is a 7.62mm jacketed hollow point round.,
Ammo.Caliber_762_MS|caliber_762_ms.item,7.62mm Micro-shrapnel Round,
Ammo.Caliber_762_MS|caliber_762_ms.item,This cartridge packs a 7.62mm bullet loaded with micro shrapnel that burst forth on impact.,
Ammo.Caliber_762_Std|caliber_762_std.item,7.62mm Standard Round,
Ammo.Caliber_762_Std|caliber_762_std.item,This is a standard 7.62mm round.,
Ammo.Caliber_762_W2C|caliber_762_w2c.item,7.62mm W2C Round,
Ammo.Caliber_762_W2C|caliber_762_w2c.item,This armor-piercing cartridge packs a 7.62mm tungsten carbide bullet.,
Ammo.Caliber_86_Inc|caliber_86_inc.item,8.6mm Incendiary Round,
Ammo.Caliber_86_Inc|caliber_86_inc.item,This cartridge contains a 8.6mm incendiary round that can set the target on fire.,
Ammo.Caliber_86_JHP|caliber_86_jhp.item,8.6mm JHP Round,
Ammo.Caliber_86_JHP|caliber_86_jhp.item,This is a 8.6mm jacketed hollow point round.,
Ammo.Caliber_86_Std|caliber_86_std.item,8.6mm Standard Round,
Ammo.Caliber_86_Std|caliber_86_std.item,This is a standard 8.6mm round.,
Ammo.Caliber_86_W2C|caliber_86_w2c.item,8.6mm W2C Round,
Ammo.Caliber_86_W2C|caliber_86_w2c.item,This armor-piercing cartridge packs a 8.6mm tungsten carbide bullet.,
Ammo.Caliber_9_Acid|caliber_9_acid.item,9mm Acid Round,
Ammo.Caliber_9_Acid|caliber_9_acid.item,This cartridge packs a 9mm bullet embedded with acid that will burst out on impact.,
Ammo.Caliber_9_JHP|caliber_9_jhp.item,9mm JHP Round,
Ammo.Caliber_9_JHP|caliber_9_jhp.item,This is a 9mm jacketed hollow point round.,
Ammo.Caliber_9_Std|caliber_9_std.item,9mm Standard Round,
Ammo.Caliber_9_Std|caliber_9_std.item,This is a standard 9mm round.,
Ammo.Caliber_9_W2C|caliber_9_w2c.item,9mm W2C Round,
Ammo.Caliber_9_W2C|caliber_9_w2c.item,This armor-piercing cartridge packs a 9mm tungsten carbide bullet.,
Ammo.CaveEarPoisonBolt|caveearpoisonbolt.item,Cave Ear Poison Bolt,
Ammo.CaveEarPoisonBolt|caveearpoisonbolt.item,This bolt is packed with an ampule of poison extracted from cave ear mushrooms.,
Ammo.CorrosiveAcidBolt1|corrosiveacidbolt1.item,Corrosive Acid Bolt,
Ammo.CorrosiveAcidBolt1|corrosiveacidbolt1.item,"Carries a vial that breaks on impact, spraying corrosive acid onto the target.",
Ammo.CrawlerPoisonBolt|crawlerpoisonbolt.item,Crawler Poison Bolt,
Ammo.CrawlerPoisonBolt|crawlerpoisonbolt.item,This bolt is packed with an ampule of crawler poison.,
Ammo.IncendiaryBolt1|incendiarybolt1.item,Incendiary Bolt,
Ammo.IncendiaryBolt1|incendiarybolt1.item,When fired from a crossbow this bolt will burn everything along its flight path and set its target on fire on impact.,
Ammo.IncendiaryBolt2|incendiarybolt2.item,Incendiary Bolt Mk II,
Ammo.IncendiaryBolt2|incendiarybolt2.item,When fired from a crossbow this bolt will burn everything along its flight path and set its target on fire on impact.,
Ammo.IncendiaryBolt3|incendiarybolt3.item,Incendiary Bolt Mk III,
Ammo.IncendiaryBolt3|incendiarybolt3.item,When fired from a crossbow this bolt will burn everything along its flight path and set its target on fire on impact.,
Ammo.PutrefyingBolt|putrefyingbolt.item,Putrefying Bolt,
Ammo.PutrefyingBolt|putrefyingbolt.item,An experimental putrefying bolt that should slowly decompose target's muscles.,
Ammo.SerratedBolt,Serrated Bolt,
Ammo.90,A special crossbow bolt with serrated metal tip that can inflict bleeding wounds.,
Ammo.ShockBolt1|shockbolt1.item,Shock Bolt,
Ammo.ShockBolt1|shockbolt1.item,When fired from a crossbow this bolt inflicts electrical damage and can stun the target.,
Ammo.ShockBolt2|shockbolt2.item,Shock Bolt Mk II,
Ammo.ShockBolt2|shockbolt2.item,When fired from a crossbow this bolt inflicts electrical damage and can stun the target.,
Ammo.ShockBolt3|shockbolt3.item,Shock Bolt Mk III,
Ammo.ShockBolt3|shockbolt3.item,When fired from a crossbow this bolt inflicts electrical damage and can stun the target.,
Ammo.SpiritPoisonBolt|spiritpoisonbolt.item,Spirit Poison Bolt,
Ammo.SpiritPoisonBolt|spiritpoisonbolt.item,This bolt is packed with an ampule of spirit poison.,
Ammo.TranquilizingBolt|tranquilizingbolt.item,Tranquilizing Bolt,
Ammo.TranquilizingBolt|tranquilizingbolt.item,"When fired from a crossbow, this bolt does a purposely limited amount of damage, but can put a human or an animal to sleep if it penetrates their armor. The smaller the target - the longer it sleeps.",
Ammo.Vial_Acid_Corrosive,Corrosive Acid Vial,
Ammo.CorrosiveAcidVial,Can be loaded into an acid based chemical weapon.,
Ammo.Vial_Acid_Regular,Acid Vial,
Ammo.AcidVial,Can be loaded into an acid based chemical weapon.,
Ammo.Vial_Cryogel,Cryogel Vial,
Components.176,Can be loaded into a cryo based chemical weapon.,
Ammo.Vial_Incendiary,Incendiary Vial,
Components.177,Can be loaded into a incendiary based chemical weapon.,
belt.advancedCatalyzingBelt,Advanced Catalyzing Belt,
Items.AdvancedCatalyzingBelt,"A chemical apparatus designed to connect to chemical pistols and keep the loaded ammunition on the edge of being chemically destabilized; the state which actuates to fullest once it's released into the air. This belt also bridges a part of the weapon's firing mechanism, making it more effective.",
biohazardBoots,Biohazard Boots,
Armors.300,These boots protect the feet from most conventional and unconventional biohazards.,
biohazardSuit,Biohazard Suit,
Armors.58,This whole-body garment protects from most conventional and unconventional biohazards.,
Armors.48,"This is the armor of Chemical Assault Unit, the most elite Protectorate special force. It's riot gear type armor specially designed to be worn in biohazardous conditions. Protectorate insignias, depicting a clenched spiky metal fists against red and black background, are sewn onto the armbands.",
Armors.41,This suit offers a moderate biohazard protection.,
Armor.BlastSuit,A full suit of body armor specially designed to withstand the pressure generated by a bomb and any fragments the bomb may produce.,
buckleShoesNormal|buckleshoesnormal.item,Bespoke Buckle Shoes,
buckleShoesNormal|buckleshoessmall.item,Undersized Buckle Shoes,
Armor.BuckleShoes|buckleshoesnormal.item,A pair of elegantly simple leather shoes featuring a metal buckle. Custom made just for you.,
Armor.BuckleShoes|buckleshoessmall.item,"A pair of elegantly simple leather shoes featuring a metal buckle. Unfortunately, the shoes are quite a few sizes too small, which makes wearing them a painfully uncomfortable experience.",
belt.bulletStrap,Bullet Strap Belt,
Armors.61,This belt is both menacing and practical.,
belt.catalyzingBelt,Catalyzing Belt,
Items.CatalyzingBelt,A chemical apparatus designed to connect to chemical pistols and keep the loaded ammunition on the edge of being chemically destabilized; the state which actuates to fullest once it's released into the air.,
pacifier,Makeshift Chrono-Repeater,
ChronoRepeater,"This jumble of cables and antennas might be an attempt to create a psionic headband version of chrono-repeater, a device that should, theoretically, be able to perfectly echo the same event throughout time with minimal energy supply, creating a sort of near perpetuum mobile.<br><br>This implementation, however, is only able to repeat its temporal scrambling, and only occassionaly.",
commandoBelt,Commando Belt,
Armor.CommandoBelt,A belt for a truly universal soldier.,
coretechMask,Coretech Tactical Respirator,
Armor.CoretechMask,"The CT M-TR3-SL is a high-tech respirator which sports a pair of hybrid smart lenses, while also providing some protection to the face of the wearer.",
coretechTacticalVest,Coretech Energizing Vest,
Armor.CoretechVest,"The CT M-EN2 is a tactical vest which integrates a state-of-the-art wireless energy transmission technology that can be used to power any devices in the immediate vicinity, regardless of whether it was designed for it or not. This required the vest to be over-coated with special conductive material that also has a secondary benefit of providing protection against energy attacks.",
cyclopsEye,Cyclop's Eye,
Armor.CyclopsEye,A helmet engineered specifically to amplify one psi ability at the expense of versatility.,
Armors.40,Wearing this doesn't suddenly make you a doctor... or does it?,
belt.doctorsPouch,Doctor's Pouch,
fireProximitySuit,Fire Proximity Suit,
Armors.43,This suit is designed to protect the wearer from extreme temperatures.,
gasMask,Gas Mask,
Armors.85,Provides limited biohazard protection by preventing the inhalation of toxic gases.,
belt.trappers|groinguard.item,Groin Guard,
belt.trappers|groinguardofhealth.item,Super Player Vitality,
belt.trappers|trappersbelt.item,Trapper's Belt,
Armors.64|groinguard.item,It's all fun and games until someone loses a...,
Armors.64|groinguardofhealth.item,Makes your sensitives more resilient.,
gauntletRunnerJumpsuit,Gauntlet Runner Jumpsuit,
Armors.46,It's a yellow Core City Gauntlet runner jumpsuit.,
hypnoGoggles,Hypno Goggles,
Devices.27,Weird goggles with comically large pair of lenses with a spiraling pattern.,
industrialExoskeleton,Industrial Powered Exoskeleton,
Armor.IndustrialExoskeleton,"A Biocorp Industries full-body powered exoskeleton intended for heavy lifting, construction, mining, and other industrial applications. All units have integrated modular forearm attachment systems, and this one has a single heavy-duty drill module under the right arm.<br><br>Take care not to tip over when navigating uneven terrain.",
ironHead,Iron Head,
Armor.IronHead,A heavy weirdly-shaped tungsten helmet inlined with malodorous rathound fur.,
jkkTacticalVest,JKK Tactful Jacket,
Armor.JkkTacticalVest,A suit of combat armor so stylishly casual that one might overlook that it's actually sporting a fully functional tactical vest. Also comes with a several built-in tools as well as couple of clever ways to store your handgun.,
jumpingStilts,Jumping Stilts,
Armors.302,"A pair of weird jumping shoes that are exceptionally awkward to stand in. They are equally awkward when moving, but at least you can gain some speed once you get the hang of it.",
largeWaistPack,Large Waist Pack,
LargeWaistPack,This larger variant of a waist pouch can hold a lot more items.,
belt.lifting,Lifting Belt,
Armors.65,"Helps you with lifting heavy objects, such as sledgehammers, and also improves your posture.",
miningHelmet,Mining Helmet,
MiningHelemt,It's a simple mining helmet with a functional headlamp.,
nightvisionGoggles,Nightvision Goggles,
praetorianHeavyArmorCaped,Praetorian Caped Peacekeeper,
Armor.PraetorianHeavyArmorCaped,It's a high-quality full steel suit of armor specially designed to deter any potential criminal activity of resident Zoners while anticipating their rascally backstabbing attacks. This version comes with a stylish cape.,
praetorianHeavyArmorTabard,Praetorian Peacekeeper,
Armor.PraetorianHeavyArmorTabard,It's a high-quality full steel suit of armor specially designed to deter any potential criminal activity of resident zoners while anticipating their rascally backstabbing attacks. This version comes with a cloth overlay commonly referred to as a scapular.,
praetorianHeavyHelmet,Praetorian Lawgiver,
Armor.PraetorianHeavyHelmet,A heavy metal helmet featuring a built-in respirator and megaphone.,
praetorianMediumArmor,Praetorian Chestguard,
Armor.PraetorianMediumArmor,"Also referred to as ""tactical cuirass"". This is the lighter version of Praetorian enforcer armor and is essentially a hybrid between the standard metal and riot armor, designed primarily to protect the chest while still allowing for some mobility. It sports a pair of sturdy metal shin guards for when the further dissuasion of a downed opponent is warranted... which is often.",
psionicTransceiver,Psionic Transceiver,
Armor.PsionicTransceiver,"A weird-looking scrappy psionic headband that amplifies your psionic abilities by tuning into emanations of nearby psionics. This is not without its consequences, however, as this feels quite unnatural and disturbing.",
Temporal Manipulation,Thought Control,
rathoundRegalia,Rathound Regalia,
Armors.42,"While it doesn't offer much protection, just wearing this primitive armor awakens your primal instincts of a pack animal on the hunt.",
shirtAndPants,Shirt & Pants,
Armor.ShirtAndPants,"It's not much, but it's better than going around naked.",
suicideBomberBelt,Master Demolitionist Belt,
suicideBombersBelt,A custom-made grenade belt that has the potential of turning its wearer into walking fireworks. Only for the most dominating.,
synestheteHeadband,Synesthetic Refocus,
Armor.SynestheticRefocus,"Each face of this brilliant gem displays a differently-dimensioned, fractal reflection when looked into. Staring at it for too long hurts your eyes.",
synestheteHeadbandImproved,Synesthetic Refocus (Hexagon Gem),
Armor.SynestheticRefocusImproved,"Each face of this brilliant gem displays a differently-dimensioned, fractal reflection when looked into. Staring at the hexagon gem hurts your eyes even more than the pentagon one.",
belt.tchBio,Bioinvestigative Belt,
Armor.TchortistBeltBio,This belt comes with highly advanced miniaturized equipment for biological analysis and synthesis of bioorganic compounds. Feels like wearing a lab around your waist.,
belt.tchChem,Chemoinvestigative Belt,
Armor.TchortistBeltChem,This belt comes with highly advanced miniaturized equipment for analysis and synthesis of chemical compounds. Feels like wearing a lab around your waist.,
belt.tchElectro,Electroinvestigative Belt,
Armor.TchortistBeltElectro,This belt comes with highly advanced miniaturized equipment for maintenance and assembly of electronic devices. Feels like wearing a workshop around your waist.,
tchortistVathosphoreGasMask,Tchortist Bioscrubber,
Armor.TchortistBioScrubber,"This experimental mask uses filters filled with microbial electrolysis cells that perform gas ""scrubbing"" (impurity removal) and break down certain harmful substances into inert and beneficial ones. The filters can last for years, but they do need their battery recharged in order to apply electric current to these cells, which keeps the process going.",
tchnob,Tchortist Noble Robe,
Armors.49,These robes are worn exclusively by the notability of Institute of Tchort. You can feel the Tchort's warm touch on your skin... or you might just be imagining things.,
tchortistRobe,Tchortist Robe,
Armors.44,These dark Tchortist robes are pretty neat if you don't mind getting strange looks.,
Armors.59,Standard issue armored robe of the Institute of Tchort Preservation Forces. You can almost feel the mighty tentacles of Tchort guide your every step.,
tchvathos,Tchortist Vathosphore Armor,
Armor.TchortistVathosphore,A prototype heavy armor designed for combat in extreme environments. On the back is a device containing an ecosystem of thermosynthetic microorganisms living off the wearer's captured heat. These are capable of producing breathable air enriched with compounds beneficial to the wearer's general health and combat performance.,
Armors.63,Keep all your trapping equipment handy.,
Armor.Unprojector,"These weird goggles seem to flatten the image that is in focus, making its silhouette easy to distinguish but obscuring the details.",
belt.utility,Utility Belt,
Armors.60,The most important tool in fighting crime.,
belt.vigorous,Vigorous Belt,
Armors.66,A paramedical device which improves muscle recovery rate and aerobic energy system efficiency through use of pulsed electromagnetic fields. It's also reputed to improve performance of other bodily functions but this is under dispute. The belt is very unwieldy though.,
waistPack,Waist Pack,
WaistPack,A fashionable but very practical waist pouch that no aspiring merchant should be without.,
warmTrapperHat,Warm Trapper Hat,
WarmTrapperHat,"A multi-layered handmade hat: The outside fur comes from an ancient rathound, while the insides are made out of high-strength, bulletproof thermoplastic polypropylene composite material. Equipped with a shaded visor.",
wizardsHat,Wizard Hat,
WizardsHat,"Obligatory part of any proper wizard's attire. You are a wizard, aren't you?",
workerSuit,Work Coverall,
Armor.WorkerSuit,Dirty old worker's coverall.,
acidBulletsBlueprint,Blueprint: Acid Bullets,
Devices.0|acidbullets.item,Contains instructions on how to create 9mm acid bullets.,
Devices.0|adrenalineshot.item,Contains instructions on how to create an adrenaline shot.,
Devices.0|advancedhealthhypo.item,Contains instructions on how to create an advanced health hypo.,
Devices.0|aegis.item,Contains instructions on how to create the aegis concoction.,
Devices.0|assaultrifle.item,Contains instructions on how to create an assault rifle.,
Devices.0|balaclava.item,Contains detailed instructions on how to create a balaclava.,
Devices.0|beartrap.item,Contains instructions on how to create traps for the mythical bear.,
Devices.0|boots.item,Contains instructions on how to create a pair of military style boots.,
Devices.0|bullets.item,Contains instructions on how to reload standard bullets.,
Devices.0|bullhead.item,Contains instructions on how to create a bullhead pill.,
Devices.0|caltrops.item,Contains instructions on how to create caltrops.,
Devices.0|chemicalammo.item,Contains instructions on how to create ammunition for chemical weapons.,
Devices.0|chemicalblobtrap.item,Contains instructions on how to create a chemical blob trap.,
Devices.0|chemicalbolt.item,Contains instructions on how to create bolts that inject various chemicals.,
Devices.0|chemicalpistol.item,Contains instructions on how to create all types of chemical pistols.,
Devices.0|cloakingdevice.item,Contains instructions on how to create a personal cloaking device.,
Devices.0|combatgloves.item,Contains detailed instructions on how to create all types of combat gloves.,
Devices.0|combatknife.item,Contains detailed instructions on how to create all types of combat knives.,
Devices.0|contaminatedbullets.item,Contains instructions on how to create 12.7mm contaminated bullets.,
Devices.0|crossbow.item,Contains instructions on how to create a crossbow.,
Devices.0|empgrenade.item,Contains instructions on how to create an EMP grenade.,
Devices.0|empmine.item,Contains instructions on how to create an EMP mine.,
Devices.0|energypistol.item,Contains instructions on how to create all types of energy pistols.,
Devices.0|energyshieldemitter.item,Contains instructions on how to create an energy shield emitter.,
Devices.0|explosivebullets.item,Contains instructions on how to create .44 explosive bullets.,
Devices.0|extracttoxin.item,"Contains instructions on how to extract blood, toxins, acid and other substances from organs of various creatures.",
Devices.0|flashbang.item,Contains instructions on how to create a flashbang grenade.,
Devices.0|focusstim.item,Contains instructions on how to create a focus stim.,
Devices.0|fraggrenadecase.item,Contains instructions on how to create frag grenade cases.,
Devices.0|fragminecase.item,Contains instructions on how to create frag mine cases.,
Devices.0|gasgrenade.item,Contains instructions on how to create a gas grenade.,
Devices.0|goggles.item,Contains instructions on how to create a pair of goggles.,
Devices.0|greaves.item,Contains instructions on how to create a pair of tactical metal greaves.,
Devices.0|grenade.item,Contains instructions on how to create an explosive hand grenade.,
Devices.0|healthhypo.item,Contains instructions on how to create a health hypo.,
Devices.0|incendiarybolt.item,Contains instructions on how to create incendiary bolts.,
Devices.0|incendiarybullets.item,Contains instructions on how to create 8.6mm incendiary bullets.,
Devices.0|incendiarygrenade.item,Contains instructions on how to create an incendiary grenade.,
Devices.0|infusedleather.item,Contains instructions on how to infused leather with fiber.,
Devices.0|irongut.item,Contains instructions on how to create an irongut pill.,
Devices.0|jhpbullets.item,Contains instructions on how to reload jacketed hollow point bullets.,
Devices.0|jumpingbean.item,Contains instructions on how to create a jumping bean pill.,
Devices.0|leatherarmor.item,Contains detailed instructions on how to create leather armor.,
Devices.0|lockpicks.item,Contains instructions on how to create lockpicks.,
Devices.0|mechanicalbolt.item,Contains instructions on how to create serrated bolts.,
Devices.0|metalarmor.item,Contains detailed instructions on how to create metal armor.,
Devices.0|metalhelmet.item,Contains instructions on how to create a metal helmet.,
Devices.0|microshrapnelbullets.item,Contains instructions on how to create 7.62mm micro-shrapnel bullets.,
Devices.0|minddarts.item,Contains instructions on how to concoct psionic drug called 'Mind Darts'.,
Devices.0|mine.item,Contains instructions on how to create an explosive land mine.,
Devices.0|morphineshot.item,Contains instructions on how to create a morphine shot.,
Devices.0|nervosomnifer.item,"Contains instructions on how to create something called ""Nervosomnifer"".",
Devices.0|pistol.item,Contains instructions on how to create any type of pistol.,
Devices.0|processplant.item,Contains instructions on how to extract useful chemicals from plants and fungus.,
Devices.0|psibooster.item,Contains instructions on how to concoct a psi booster drug.,
Devices.0|psiinhalant.item,Contains instructions on how to make a psi inhalant.,
Devices.0|psionicheadband.item,Contains instructions on how to create a psionic headband.,
Devices.0|psireinvigorator.item,Contains instructions on how to concoct a psi reinvigorator.,
Devices.0|recycleitem.item,Contains instructions on how to recycle an item.,
Devices.0|regenerativemixture.item,Contains instructions on how to create a regenerative mixture.,
Devices.0|repairkit.item,Contains instructions on how to create a repair kit.,
Devices.0|riotgear.item,Contains instructions on how to create a riot gear armor set.,
Devices.0|shieldrecharger.item,Contains detailed instructions on how to create a shield recharger.,
Devices.0|shiv.item,Contains detailed step-by-step instructions on the ancient art of making a shiv.,
Devices.0|shockbolt.item,Contains instructions on how to create shock bolts.,
Devices.0|shockbullets.item,Contains instructions on how to create 5mm shock bullets.,
Devices.0|shockshurikens.item,Contains instructions on how to create shock shurikens.,
Devices.0|sledgehammer.item,Contains detailed instructions on how to create a sledgehammer.,
Devices.0|smg.item,Contains instructions on how to create any type of SMG.,
Devices.0|sniperrifle.item,Contains instructions on how to create a sniper rifle.,
Devices.0|superhealthhypo.item,Contains instructions on how to create a super health hypo.,
Devices.0|supersoldierdrug.item,"Contains instructions on how to create something called ""Supersoldier Drug"".",
Devices.0|tabiboots.item,Contains instructions on how to create a pair of tabi boots.,
Devices.0|tacticalvest.item,Contains instructions on how to create a tactical vest.,
Devices.0|taser.item,Contains instructions on how to create a taser.,
Devices.0|thejuice.item,"Contains instructions on how to create ""the Juice"".",
Devices.0|thingrenadecase.item,Contains instructions on how to create thin grenade cases.,
Devices.0|thinminecase.item,Contains instructions on how to create thin mine cases.,
Devices.0|throwingknives.item,Contains instructions on how to create throwing knives.,
Devices.0|throwingnet.item,Contains instructions on how to create a throwing net.,
Devices.0|tntcharge.item,Contains instructions on how to assemble a timer triggered T.N.T charge.,
Devices.0|trance.item,"Contains instructions on how to create a ""trance"" shot.",
Devices.0|vehiclerepairkit.item,Contains instructions on how to create a vehicle repair kit.,
Devices.0|w2cbullets.item,Contains instructions on how to reload tungsten carbide armor piercing bullets.,
Devices.0|evelynmurderproof.item,This drive contains proof that Evelyn Ingram is a murderer.,
blueprint.adrenalineShot,Blueprint: Adrenaline Shot,
blueprint.advancedHealthHypo,Blueprint: Advanced Health Hypo,
blueprint.aegis,Blueprint: Aegis,
assaultRifleBlueprint,Blueprint: Assault Rifle,
blueprint.bearTrap,Blueprint: Bear Trap,
bootsBlueprint,Blueprint: Boots,
bulletsBlueprint,Blueprint: Bullets,
blueprint.bullhead,Blueprint: Bullhead,
blueprint.caltrops,Blueprint: Caltrops,
chemicalAmmoBlueprint,Blueprint: Chemical Ammo,
chemicalBlobTrapBlueprint,Blueprint: Chemical Blob Trap,
chemicalBoltBlueprint,Blueprint: Chemical Bolt,
chemicalPistolBlueprint,Blueprint: Chemical Pistol,
cloakingDeviceBlueprint,Blueprint: Cloaking Device,
combatGlovesBlueprint,Blueprint: Combat Gloves,
combatKnifeBlueprint,Blueprint: Combat Knife,
contaminatedBulletsBlueprint,Blueprint: Contaminated Bullets,
crossbowBlueprint,Blueprint: Crossbow,
empGrenadeBlueprint,Blueprint: EMP Grenade,
empMineBlueprint,Blueprint: EMP Mine,
energyPistolBlueprint,Blueprint: Energy Pistol,
